Name,Review,Number of Stars
Roamright,After being a loyal client for several trips/years for the first time ever we had to cancel our trip and request a claim payment as per the specifics of our policy. Approval process was exceptionally slow and drawn out.  Review process made us feel as we were dishonest and had made multiple claims in the past which which never did.  They process your payment for a policy in light speed and pay out a claim for less than one-third of the policy fee in glacier speed.  Their multiple level claim review process is archaic and insulting.,3
Roamright,"I did not need the insurance in this trip, but last year on a bike trip to Vietnam and Cambodia, I had an accident. RoamRight went above and beyond in getting me to a good hospital, covering my surgery, and getting me home safely.  I can’t say enough good things about what a great service this is.",5
Roamright,"I’m a 100% service connected disabled veteran US Marine, medically retired from US federal employment (27yrs) and social security disabled. I injured my back before trip and Arch insurance denied my claim. Although I provided doctor notes, letters and VA disability letter. I realized no matter what I provided this insurance company, it was predetermined to deny claim. I checked the Better Business Bureau and found many similar complaints. A shameful way to treat a war veteran and my wife a nurse who retired from the VA, caring for the most ill and injured veterans. We travel every few months around the world and share are experiences with family, friends and coworkers. A fact that doesn’t seem to concern the company. I only wish I would have checked the Better Business Bureau first but it is a lesson learned. Buyer beware.",1
Roamright,"I cannot BELIEVE that an insurance company is that commented to their consumers with respect, understanding, patient along with keeping a great rapport of knowledge. This {ARCH ROAMRIGHT} company was the EASIEST, SPOT ON WITH REAL INFORMATION AND WHAT TO EXPECT! Darlene was excellent. This was one call I didn't feel lost! EVER! WTG TEAM and Thanks",5
Roamright,"Always hate paying extra charges; however, we will never consider Travel Insurance extra, only necessary. After planning a trip to Alaska to celebrate our 50th Anniversary, my husband had an accident 2 weeks prior to departure. He was not going to be able to walk well to endure the trip nor enjoy this once in a lifetime event. We notified the travel agency and filed a claim with Arch Travel Insurance after receiving information from the travel agency. Once information was filed online, a decision was made within a few days to close the claim. We received a complete refund from the travel Agency and Arch Travel Insurance minus the cost of the travel insurance. We are relieved, thankful and grateful for the coverage. Thank you Arch Travel Insurance! H. Furr & wife.",5
Roamright,"Do not use this travel insurance.  They are quite well available to take your money when acquiring an insurance package, but forget about submitting a claim.  They probably have bots running process.  I tried communicating thru email several times, and then called but couldn't get connected to a claims human.  The person I did get hold of did not know what to do and couldn't even pass on the information.  shortly after the call, they closed my claim!!New edit:Arch roamright responded to this bad review but they have NOT responded to me.  I have attempted to contact them but have been unable.Again, DO NOT USE THIS INSURANCE ORGANIZATION!!",1
Roamright,"I recently chose Arch RoamRight for my travel insurance needs, and the experience exceeded my expectations. The website, offers a user-friendly interface, making it easy to explore and customize coverage options based on my travel plans.Arch RoamRight's commitment to transparency is evident in their clear and comprehensive coverage details. I found a suitable plan that provided peace of mind for my trip. The pricing was reasonable, considering the extensive protection offered.What truly sets Arch RoamRight apart is their exceptional customer service. The support team was knowledgeable, responsive, and assisted me in understanding the nuances of my chosen coverage. This level of service gave me confidence in my decision.During my travels, I encountered an unforeseen situation, and I had to file a claim. Arch RoamRight's claims process was efficient, and they promptly addressed and resolved my claim. This experience reinforced my trust in their commitment to customer satisfaction.I highly recommend Arch RoamRight to fellow travelers seeking reliable and customer-centric travel insurance. Their seamless online experience, transparent policies, and outstanding support make them a top choice in the industry.",5
Roamright,We had travel insurance for our Alaskan cruise trip.  Coming home on way to airport we were informed our flight was cancelled.  No other flights that day on the booked airline. They booked us for a flight for next afternoon.  We booked a flight on another airline. Trip delay caused expenses.  Filed claim 6 months ago. Terrible customer service.  It's still an outstanding claim. I've had to submit same forms 3-4 times.,1
Roamright,"It’s not we thought the coverage wasDifficult to file a claim, our claim was denied more than twice .We did not have problems with Allianz insurance. We decided to go back and bought a year coverage.",2
Roamright,"I filed a claim on 11/11/2022 and it took almost five weeks for it to be processed although they stated that it will take 30 days max. On 12/16/2022 I received an email that my claim was approved and a letter stating that the payment has been made with the transaction reference number on it. To my surprise up to date, the payment it's not yet sent, and after several phone calls and emails I'm send from one pillar to another without clear explanation. The claiming process it's horrible with unprofessional staff like SAMANTHA. They rarely reply to my emails. So disappointing and very annoyed with this company.",1
Roamright,"I always use Roamright for my international travel.   I fortunately have never had a travel issue that resulted in a claim, but obtaining a quote and policy is so quick and easy.   And the peace of mind having toll free access to assistance is invaluable.",5
Roamright,I felt pretty well protected in the event of calamity.  I was however misguided thinking I had until like 30 days before the trip to purchase “insurance” . I wish the website was a little easier to navigate on discovery info. I have purchased Roam Right on prior trips but couldn’t remember when or if I purchased cancel insurance. All went well and we had a safe trip,5
Roamright,RoamRight was efficient at  getting back to me. All information they asked me I provided. I had my doctor send them a filled out form that they requested. I filled out all their forms they requested. And they still have not addressed my issue from a trip that I never was able to go on. This has been over a month of e mails back and forth.Very frustrated. I have used them numerous times but never had to make a claim . This claim was only for $360 bkz I was honest and found someone to take my place. I travel monthly and will not use them again.,2
Roamright,I filed a claim about a week ago and thought I did something incorrect.  I got myself so nervous over this. I called and spoke to Marcy and she confirmed everything is under review and appears to be fine. I told her that she calmed me down immensely. Marcy provided excellent customer service to me. Thank you Marcy!!!,5
Roamright,"I needed to cancel my first order because I thought my husband was included, however he was not.I spoke with Caitlin and she was an amazing service representative. She redid this for both of us, and clearly explained every thing.She is certainly a gem working for your company.",5
Roamright,"Have used this company three times for travel coverage on family charter cruises in the Caribbean. No claims! The last time in 2020, we had paid for a charter in the BVI’s and shortly before departure, it became clear the Islands were likely to close their border (COVID) and there was significant chance we might be trapped there, difficult or unable to return. Subsequent events showed that would indeed have been the case. We cancelled, made no claim after paying almost 775$. The company offered a voucher credit for the insurance payment (for which they assumed no real risk) requiring use with 360 days. Ongoing covid and other factors made it impossible to recommit to a charter until this year. Both the airlines and Charter company offered credit and  have extended our ‘book before date’ to September “23. This seems unduly restrictive and I felt the staff person who refused my inquiry was at least mildly condescending.",1
Roamright,I purchased RoamRight for a group tour to Italy.  The tour was cancelled by Renaissance Group tours when the borders were closed due to COVID-19.   I was never reimbursed for the entire trip.  I paid for the entire trip. Lost $1900. because “ travel agents had expenses” too.         The tour operator died.  NEVER Roamright.,1
Roamright,"I guess in this instance you get what you pay for. I purchased travel insurance for a trip to Europe for a very fair price. However, we encountered a delay of trip due to a blizzard which caused us to miss multiple connections. Since the delay wasn't a full 24 hours, none of the new ticket expenses were covered. I guess I understand now that this is only for catastrophic coverage, and not for instances such as this.... But make sure you do your homework as we are out a bunch of money that we assumed would be covered as this is exactly what I thought travel insurance was for. If all I needed was catastrophic coverage, I probably had that for free with my credit cards.",2
Roamright,"Our luggage was delayed. Two days. I am going through the process to get a refund for expenses. About $150. Obviously Roam Right makes the process so much work to try and get customers to quit.   Not happy with this AT ALL!!  I have submitted receipts for the items we purchased (contact lens solution, toothpaste, deodorant, 3 shirts and a pair of pants - we had already worn the same clothe for over 48 hours), a copy of the report filed with the airline when the luggage was delayed and our boarding passes.  Now they want copies of our credit card statements.",3
Roamright,"Very disappointed , I purchased this travel insurance right before Covid -19. We had to cancel our trip due to the virus. When I called to see if I could put my policy on hold I was told that was not a problem and could use it for a future trip. But, when I called back to use it I was told it had lapsed and there was nothing they could do. I find this to be very frustrating and unfair especially since the country we were traveling too has only allowed foreigners back into the country within the last 6 months. I feel due to the pandemic and travel restrictions beyond our control this company should have made an effort to at least reach out to let me know there was an actual expiration date or made an option for a refund.",2
Roamright,"I didn’t care for Roam Right’s (RR) handling of the pandemic and deferred travel plans. I had a Cancel For Any Reason (CFAR) type policy pre-Covid that I was forced to switch out of when the tour got deferred and RR belatedly advised that CFAR policies were no longer offered and the travel dates could not merely be modified on the existing coverage I had purchased. This was contrary to what other companies were doing and what the tour group itself was doing with simply moving dates. RR valued its profit margins over its insured. I also found it’s “credit-carry over” policy for previously paid premiums to be cumbersome and difficult to maneuver since the world was not traveling as I faced looming expiration dates on the credit (for using money I already paid). Again, RR valued profit first.",2
Roamright,"I had to give it a 4-star because, thank goodness, we did not have to use the insurance.  It did allow us to breathe a sigh of relief that we could rely on Roam Right if any issues occurred during our overseas stay.",4
Roamright,"Last summer my husband and I were booked on a rather costly trip with Natural Habitat Adventures. Based on the recommendation of our travel advisor, Wendy, we purchased trip insurance with Arch. We are so grateful that we listened to Wendy. We contracted Covid prior to our departure on the NatHab tour. As they should, NatHab told us that we could not tour.The claim process with Arch was seamless. Because of the backlog, the payout timing was a bit slow; however, each time I called to follow, up, the customer service could not have been more helpful.",5
Roamright,"Filed a claim on May 17 th of this year 2022.  It is now Oct 15th, 2022 and I still have not gotten back a final decision on my claim.Contact has been minimal from RoamRight with most contact being initiated by me. I will leave it to the readers imagination what I feel about RoamRight.",1
Roamright,"This insurance is a joke. We have sent them the exact same documentation repeatedly, in full of all that they asked. They keep asking for the same documents and delaying paying our fully legitimate claim. Would not recommend to anyone, ever.",1
Roamright,"I recently had to cancel a trip because my daughter was going to have a baby. She previously had a still birth, so we were very anxious. I had planned the trip before she was pregnant, and canceled as soon as I found out when they were planning the cesarean section. I was appalled when you required a multiple page form to be completed by her doctor. In addition to the Credit card statements showing what I had paid for the trip, I also provided evidence showing my relationship with my daughter, of the previous still birth, and of the planned date of birth. I have heard nothing since. Not only am I out the $558 for the trip, I am out the $102 which I paid for my insurance.",1
Roamright,"We were delayed by 2 days.  We had to buy food at the airport and deoderant.  We already had toothbrushes.  They wouldn't cover these minimal expenses, because (7 days later) our bags arrived. Dont waste your money with this company",1
Roamright,I’ve used Arch RoamRight for years. Never had an issue even when I had to make a claim. One claim in five trips. RoamRight has always been cheaper than other companies.I would highly recommend this travel insurance company over and above all others.,5
Roamright,"While I didn't file a claim against my annual Roamright policy, 2 of my friends did. The experience was no positive. One friend was unable to get reimbursed for a covid delay where she needed medication and hotel nights (covid was covered at the time) while another was denied when he had a 14+ hour flight delay/cancellation - Roamright wanted paperwork he was unable to obtain from the airlines and deemed his receipts/boarding passes/flight notifications unacceptable. We believe that it is Roamright's policy to deny, deny, deny until you wear out and go away.",1
Roamright,My luggage didn't arrive. I filed a claim and sent all the documents. Now they want more. Some things I don't have or never received. I paid too much money for so little response and customer service. I would not recommend this company to anyone. I will tell the travel agency about my experience.,1
Roamright,Marce was knowledgeable and helpful. She sent documents to me as we spoke so I could ask any questions while the call continued. This was very helpful and unusual.,5
Roamright,It was time to renew my yearly travel insurance. The person I spoke to was efficient and able to take care of everything with one call. I have used Roam Right for many years for my travel insurance needs and also for Grandchildren's adventures. It has always been a pleasant experience.,5
Roamright,"Arranging for the policy was simple with clear understanding of the coverage.  I made no claim so I’m not in a position to assess that process.  My only request would be the ability to purchase coverage in a more “cafeteria” style since there are certain needs that are more important (to me) than others — although there are few, if any, options to do so.",5
Roamright,"My wife and I insured our trip to Italy and a 9-day cruise from June 2, 2023 thru June 15, 2023.  We purchased the Pro Plus plan thinking we'd have the best protection. During the last 4 days of our vacation, my wife and I both became very ill and were barely able to do anything other than sleep and eat occasionally.  Honestly, Covid did not cross our minds as others in our party had also gotten sick but had tested negative. We assumed it was food poising or some other bug.  We each missed 2 excursions on the 12th and 13th of June.  Barely feeling much better on the 15th, my wife and mustered up the energy for the 9 hour flight back the the US.  Not feeling any better, we drove straight from the airport to the ER where we were diagnosed with Covid-19.  Our claim was rejected becaues we did not get diagnosed DURING our trip while on board.We were sick as dogs.  The last thing we were thinking was obtaining an ""official onboard diagnosis"" to satisfy Arch RoamRight.  We provided the documentation they asked for...just not while on the ship. Nevermind my doctor's statement was dated June 15th and the fact that Covid takes days or a week even to manifest.  Common sense tells us that we would have had it while on the ship.  I will continue to purchase travel insurance but never again from RoamRight.",2
Roamright,"Travel insurance is one of those things you hope to never have to use.  We were fortunate and all went well and did not have to make a claim, but the peace of mind was well worth the cost.  Obtaining the insurance was easy and your operators were very helpfull.  Would recommend to any one that travels.",4
Roamright,Claim was denied for a DAMAGED suitcase $160.00 claim after paying over $1000.00 for insurance,1
Roamright,"Megan went ""above and beyond"" in helping me arrange insurance for my upcoming trip. They ALL made concessions and adjustments that they did not have to make. I just want to say ""thank you"".",5
Roamright,"Navigation & shopping for the right plan was easy. Clear explanations & pricing seemed fair. Fortunately, I didn't have to use their services so I cannot comment on their coverage & ease of use.",5
Roamright,"This last claim took way too long. Rep asked me for duplicate documents. Felt I was uploading over and over again. I reached out several times without responses. Thankfully, claim was accepted.",4
Roamright,"Darlene was very kind and had the correct information instantly to answer my question.  In fact, everyone there has been very thoughtful and knowledgeable throughout this process, which was a difficult emotional experience for me.  We appreciate the kindness extended to us by your entire team.",5
Roamright,Always have had a peace of mind with roam right in the past and did this trip as well! The process was pretty much seamless and the person that helped me was very helpful and knowledgeable. I would definitely use this company in future.,5
Roamright,We used Arch RoamRight for our trip to British Columbia. They were recommended by the tour company. We had no issues and our experience was satisfactory.,5
Roamright,Best policy we ever had.  We travel year round so the annual policy is not only cost effective but is also reasonably priced. Over the years we had to place a claim a few times.  The process was easy and we were extremely satisfied with Arch Roam Right service.  We’ve recommended them to several of our friends.,5
Roamright,"Not able to comment!Since we did not have to file any claims (thank God), we did not experience any interaction with Arch RoamRight company, therefore, unable to comment.",3
Roamright,"Feb 10, 2023-VERY SATISFIED!!The agent that I spoke with, was extremely knowledgeable and accessed our information immediately. Her explanation was simple with enough detail to understand the process. I was treated fairly and with respect. I will definitely use RoamRight insurance for our next adventure.Linda N",5
Roamright,"Helen was extremely helpful in answering my questions regarding the policy.  Also, in research I found that RoamRight has great reviews so now I can go on my trip with ease of mind.  Thank you.",5
Roamright,Never a problem with your company until this time in New Zealand when I. Got Covid.I tried to and I never could get through..  sort of disappointed!Bev Schlegel817-705-7452Text or call,4
Roamright,"Please be aware before purchasing insurance with Arch RoamRight. I purchased travel insurance in April for my trip to Ireland the end of May. While in Ireland, my husband and I both got COVID and we’re unable to fly home on June 7th because of the US’s restrictions at the time so we had to reschedule our flights for June 13th which was very costly. Also, had to book a new Airbnb for the additional days that we were required to stay. I filed my claims right away when we returned, June 14 to be exact. Over 3 months later, I am still waiting. On July 28, I received an email that it was in final review and would take 4-6 weeks, that time has come and gone. I call every week and I’m told the same thing they they are really busy. At this point, I feel that I am getting the run around. I’m very frustrated. I am out over $3,000 plus the cost of this insurance.",1
Roamright,thankfully have never had to use the benefits of traveler's insurance but recommend always purchasing a policy when traveling abroad even if it's a short trip.  roam right makes it easy to purchase and customize buying traveler's insurance. have purchased when traveling by airplane or even when taking a cruise,5
Roamright,"Thankfully we didn't need to use the insurance this time, but in the past we have. And Roam Right did help us cover the cost of a flight home from our vacation. That's why I keep using them and recommend them to anyone traveling!",5
Roamright,"Arch’s Roam Right is easy to purchase, and the cost is reasonable. The benefits are good. A traveler is protected.",5
Roamright,"I am not impressed with this company.  Our flight was canceled,  we had to cancel our hotel,  no refund.  I put in a claim for $399, which included canceled room, meals and transport to another hotel in the city we were stuck in and a meal.  I put everything in their form.  Then I get an email where I have to contact the airline again for more proof,  get written proof again from the hotel.  I won't be using this company again.",2
Roamright,I have health issues that could impact being able to go on my trip but with Roam Right there are no worries.  They will cover any costs and return my money if I can’t go.  I just feel they walk along side me on my trip to be there for any issues that might come up.  Coverage is important to me and I know it’s there with them.,5
Roamright,"Signing up for the insurance was easy and pleasant.  Thankfully, I didn't need to take advantage of their services.",4
Roamright,She was very knowledgeable and extremely helpful. She was able to answer my questions and provide the term and conditions section for review since it’s not easily readily available.,5
Roamright,I did not like the explanation why  what I believed to be a previous level of medical coverage was not or no longer avalable.,3
Roamright,"Broke my lag on a tripHad to pay everything but when I cam back ,reported with hospital receipts ,X-rays and all what was needed,4 month and nothingI will not recommend this company",1
Roamright,For the 1st time in my life I had to delay a trip for medical reasons. I incurred increased airfare and missed hotel stays.The claim process was very easy and I was able to recoup all losses.  The customer service was excellent.I highly recommend.,5
Roamright,"I had purchased insurance for a trip to Israel. Our trip was canceled at he end of last year, but you transferred our coverage to a trip to Alaska this year when we provided documentation. Thank you so much.",5
Roamright,It was simple to purchase a policy and understand what was covered. Fortunately I did not have to submit a claim so I cannot comment how easy it is receive reimbursement.,5
Roamright,"Our flight was delayed in Dallas due to a terrible storm and had to spend the night. Spent in the claim on August 24 and have heard nothing back from RoamRight.  What is the hold up for a simple straight foreward claim for $102.  Not asking for any food or other trip charges, just hotel charges.  this is the second time RoamRight has done this to us.",1
Roamright,"This was my first time purchasing travel insurance. This company Cham recommended from my travel agent. Fortunately, nothing went wrong that I had to use it. That said, I can’t really give a fair rating on the actual utilization of the policy. I have more upcoming international travel ahead, and I plan to use them again as the purchase was easy and the price was fair. I will say the deciding factor on this company versus a few others was they actually had someone answer the phone within a few minutes to answer my questions about policy coverage before I purchased it. The person I spoke with was very knowledgeable and very easy to work with. My thought process on the other companies was that if it takes 45 minutes for someone to answer the phone to sell you a policy, how long would it take if you actually had to use the policy!",5
Roamright,The trip RoamRight insured was supposed to happen in 2020.  The policy was purchased in early 2019.  The trip never happened until fall of 2022.  The company rolled over the first time with no change in fee.  Second time it rolled over there was a small fee.  This company was certainly flexible during the pandemic.,5
Roamright,Your representative did an excellent job of listening to our needs & suggesting the very best policies for our needs.  She was both pleasant & quite professional to deal with!!!,5
Roamright,"Although we did not have to use the insurance, Roamright was very amenable when we had to postpone our trip several times due to Covid.  Would definitely use them again.",5
Roamright,"Helen was very helpful and informative, we have nine people going on our trip, and she broke it down into understandable portions",5
Roamright,I wasn’t allowed to purchase insurance because it was too close to the time of the trip. Other travel insurance companies allowed me to do so.,2
Roamright,"Couldn't buy a policy less than 21 days before desired start date, so found a competitor who would write the policy.",1
Roamright,We had the best plan and fortunately had no use for our insurance. It was comforting to know we had the policy and would buy it again for another trip.,5
Roamright,I renewed my travel policy (annual coverage expiring in July 2022) and was told I would receive and updated email with the new 2023 expiration date. I did not received the email as promised.,3
Roamright,"This is the second trip we have insured with your company, and the price and coverage we received were exceptional.We recommend to our fellow travelers!",5
Roamright,"Travelled to Italy and got Covid. Unable to flight back to the US. I changed flights, and booked to a different hotel for additional days because the current place was fully booked.The company covered ALL ADDITIONAL EXPENSES:-Airline change fees-Hotels (additional days) Example: If your checkout day is the 14th, they start counting the next day (15th)-Food-Ground transportationIssues:-They took 3 months to approve my claim (Probably they were doing deep research).-They don't answer emails. (I emailed every 3 weeks).-They answer the phone quickly so you can submit your inquiry but don't expect a call back from them. However, you will receive an email if they need more information.-On the Insurance booklet says the following information: ""All benefits payable under the Policy will be paid immediately upon receipt of due written proof of such Loss. All claims shall be paid within 20 days following receipt by the Company of due proof of Loss. Failure to pay withinsuch period shall entitle You to interest at the rate of 12% per annum from the date of the payment agreement.""However, my approved claim (EOB) do not included any ""interest"" amount.Do I will recommend this insurance to a friend? Probably. If you don't need the refund ASAP is a good insurance. Otherwise, compare other insurances.Tip: Always check the maximum amount the insurance will pay before buying. Not all cheap insurances include benefits that you will need (in case that something happens).Save all receipts (specially those after checkout).-Hector",3
Roamright,"Fortunately we did not have and problems. We did not have to use your services. They were very expensive but provided us peace of mind!Thank you,Linda Knapp",5
Roamright,"Where do I begin with this horrible company as well as awful customer service?!?! We had planned a trip in June 2022, to Belize. Bought, what we thought, was good travel insurance. On the day of our vacation (6 hours before our flight), Delta airlines, canceled our trip TWICE. Resulting in us NOT able to make it to our destination. Sadden, we (4 of us) came back home. I immediately contacted the insurance company and they told me to file a claim. So I did…6 long months later, we were told our claim was denied, because “they do not cover flight cancellations”! We have waited so long on this horrible insurance company that now we are NOT able to even get our money back through our credit card company. So now we are out of a vacation and the money….$4000 for the resort in Belize is all we were asking for. If I could give Arch RoamRight zero stars I would. My advice to anyone out there looking for a good travel insurance…DO NOT PURCHASE ARCH ROAMRIGHT!! They will take your money, string you along and be very rude to you in the process.",1
Roamright,"We just tried to find the cheapest policy that met the possibilities that might befall us. Everything went fine and we had no claims, so I have no idea how the response might have been.",3
Roamright,"My experience was amazing.  Corey, was kind, professional and informative.  I enjoy my experience every time I call to use this service.",5
Roamright,It was very easy to purchase this insurance. I just wish that I had been able to get the waiver for all circumstances so that I would be completely protected.,4
Roamright,"RoamRight gave me confidence during my extended trip. Although I never needed services, it was good to know help was just a phone call away, if needed.",5
Roamright,Excellent !!!!! Pleasant customer service. No pressure to buy. If you travel a lot the yearly subscription  of ArchRoamRight is perfect. Thks again,5
Roamright,"Easy to get policy.  Have used several times in the past to order policy, but luckily never had to use it.  Therefore can offer no feedback on how easy benefits can be used",5
Roamright,"We just renewed our yearly travel insurance plan.  It was very easy and done with a quick phone call.  The rep was knowledgeable and easy to understand.  We have had RoamRight for about 5 years.  The first year, our trip to Hawaii for a cruise was halted when my husband had a stroke.  We were able to easily get all the money back!  It is so comforting to have the yearly policy and not need to buy insurance for each flight or cruise.  I love that we have medical coverage when 100 miles from home!",5
Roamright,Great Customer Service and a great product. We have been using Roam Right for over 10 years on all of our international travel. The claim process is simple and our claims were paid with in days. It’s a great comfort to know that Roam Right has you covered!,5
Roamright,"I came across the rating page for Arch RoamRight by accident when thinking of traveling again and i just wanted to warn people of RoamRight Insurance. 8/2022 I left a one star review and explained: we paid for a trip with full insurance. First payment 11/2019. Last payment 2/2020.  Our trip was canceled because borders were closed after our final payment and the trip never took place.  I am still owed the balance of $1,890.  9/2022 I was contacted by RoadRight and asked to submit information to them and they would review it.  Just got their response.""According to the information submitted, you filed a claim for your 2020/2021 postponed trip on 10/22/2022. The tripnever took place as it was cancelled due to the pandemic.Since the claim was filed out of the timeline allowed to file the claim, we are unable to honor your claim. Additionally,the reason for your claim is an excluded reason; therefore no benefits are payable.""No one in the general public was using the words COVID-19 or Pandemic, in November 2019. It was not an excluded reason in 2019/2020.  Since when is a trip cancelled by the travel agent and not taking place a reason for not refunding ALL monies paid. ALL MONIES. We never received plane tickets, hotel confirmations. The company knew the claim/trip was 2020.  Yet they still asked me to file a claim in 2022.  Why? so they could dig it in just a little bit more, they don't pay their claims.  Let that sink in.",1
Roamright,"The phone was answered promptly.My questions were answered with expert knowledge, and a policy was produced that suited our needs and that was also within our budget!",5
Roamright,No review text found,5
Roamright,We have used Arch Roam Right for two trips.  Thankfully we have not had to use the benefits of the policy but the on-line purchase was very easy.  It was necessary to change the dates of our most recent policy and we were able to do this with one phone call.,5
Roamright,Never get RoamRight insurance for travel. All they do is ask for more forms to be completed over and over. It has been 3 months since I filed a claim and they never cough up any cash for any reason. Completely useless. A waste of your money. Avoid them like the plague.,1
Roamright,"You received my claims for months now.  I received #1 letter, received claim. #2 letter, will hear in 30 days. #3 letter will hear in another 30 days .  What kind of games are you playing.  Pay the claims",1
Roamright,Complete failure!My flight was late and despite two phone calls and an email they where unable to amend the booking and I was left with no car when I arrived.,1
Roamright,"Thank god I didn’t have to use, however it offered a piece of mind knowing I had the protection I might need when being so far away in the Dominican Republic.",5
Roamright,Megan was fantastic !!!!!   She listened intently to what I had to say/ask and made me feel like my concerns really mattered to her and she provided me with the answers I needed.,5
Roamright,"Easy to purchase, even easier this year because you kept all my information. Glad I did not use your insurance but glad I had it.",5
Roamright,could not register policy as could not locate access code on any documents. Did not receive ID cards. waited in chat room but no one came on in the time I had.,1
Roamright,I work in the travel industry and get a special policy through Arch which I have been buying for years. In all that time and all those many trips we have had one claim which was very promptly and efficiently dealt with. I'm very glad to have Arch at my back wherever I am in the world.,5
Roamright,"Fortunately, we didn’t need to use our insurance on this trip but we did on another trip and we received a prompt refund with no hassles.",5
