Name,Review,Number of Stars,Cleaned_Review
AARDY,"Website was easy to follow and to go back to before purchasing. The policy covered what was real important to me which was trip coverage and medical coverage, which was better in comparison to a lot of the other plans I had looked at.",5.0,website easy follow go back purchasing policy covered real important trip coverage medical coverage better comparison lot plan looked
AARDY,"I have used AARDY a number of times- -and I am always pleased with their service.Today, Sonia helped me amend one policy and buy another- -and the whole thing was seamless.Highly recommend AARDY and Sonia!",5.0,used aardy number time always pleased servicetoday sonia helped amend one policy buy another whole thing seamlesshighly recommend aardy sonia
AARDY,Roy was very knowledgeable and helpful in my selection of a travel insurance policy. Throughly explained what documents I would be receiving and made himself available if I had questions later on.  Thanks!,5.0,roy knowledgeable helpful selection travel insurance policy throughly explained document would receiving made available question later thanks
AARDY,"My wife and I are planning a trip to Alaska and wanted to get travel insurance to help us with any unforeseen events that might impact this expensive trip. Comparing  travel insurance policies can be very confusing. We worked with Stacy who carefully listened to our concerns, answered our questions, and found a policy that met our needs. Feeling very confident that we made a good choice. Thank you!",5.0,wife planning trip alaska wanted get travel insurance help u unforeseen event might impact expensive trip comparing travel insurance policy confusing worked stacy carefully listened concern answered question found policy met need feeling confident made good choice thank
AARDY,Miranda and Andrea took the time and answered all our questions in regard to what travel insurance coverage would be best for us. They even reviewed our travel agreement for our trip explaining why we should have this type of Travel Insurance coverage! We look forward to our trip - trusting insurance will not be needed. But we are covered!!,5.0,miranda andrea took time answered question regard travel insurance coverage would best u even reviewed travel agreement trip explaining type travel insurance coverage look forward trip trusting insurance needed covered
AARDY,"I was comparing policies to get the right one for my international trip. Christianna called me to talk about my needs and concerns. We discussed a few different options available and problems I had with determining the value of the trip. She was very helpful and patient, spending as much time as I needed determine the right policy.",5.0,comparing policy get right one international trip christianna called talk need concern discussed different option available problem determining value trip helpful patient spending much time needed determine right policy
AARDY,"Agent Sylvia was courteous, thorough and answered all of my questions.  She explained the differences in the policies and advised which one would fit our needs.",5.0,agent sylvia courteous thorough answered question explained difference policy advised one would fit need
AARDY,"The website is clear, informative and easy to navigate. I decided to call the office to clear up my own issues and was very efficiently helped by Denise, one of the agents. Denise was friendly, answered my questions simply and accurately, and actually filled out the application for me. I certainly give her a 5 out of five, and generally recommend Aardy.com to anyone needing travel insurance.",5.0,website clear informative easy navigate decided call office clear issue efficiently helped denise one agent denise friendly answered question simply accurately actually filled application certainly give five generally recommend aardycom anyone needing travel insurance
AARDY,Shauna was very helpful and patient while explaining the different policies. It was a pleasure speaking to her.,5.0,shauna helpful patient explaining different policy pleasure speaking
AARDY,Denise was very helpful in helping me decide on the best policy for my situation.Very efficient.,5.0,denise helpful helping decide best policy situationvery efficient
AARDY,I paid for and received the confirmation and IDs for the 3  who are going from Texas However I am going from Michigan I have no received my confirmation or ID.  The bank shows you debited my account for $640 for the 3 from Texas and $595 for me from Michigan. Please send my paperwork to me. Janice Gross,1.0,paid received confirmation id going texas however going michigan received confirmation id bank show debited account texas michigan please send paperwork janice gross
AARDY,Janet S. Was very helpful and informative to our situation. She took the time to take care of a policy that we had recently purchased and wanted to cancel and get a different policy .She explained and recommended the policy that we were looking at to replace our current one. VERY HELPFUL !!! THANK YOU THANK YOU !!!! Janet S.,5.0,janet helpful informative situation took time take care policy recently purchased wanted cancel get different policy explained recommended policy looking replace current one helpful thank thank janet
AARDY,Denise answered all my questions in a polite and satisfactory manner and confirmed the level of coverage needed for my pending travel plans.,5.0,denise answered question polite satisfactory manner confirmed level coverage needed pending travel plan
AARDY,Customer service has been very helpful and knowledgeable. I had to cancel my plan because I was already covered with another policy. Everyone was still nice after I needed to cancel. They handled the situation quickly and promptly. I will be certain to purchase with Aardy again!!,5.0,customer service helpful knowledgeable cancel plan already covered another policy everyone still nice needed cancel handled situation quickly promptly certain purchase aardy
AARDY,"Travel Agents Andrea and Sylvia were kind, patient and very knowledgeable about various plans.  I feel confident that the two policies I purchased will meet my needs.",5.0,travel agent andrea sylvia kind patient knowledgeable various plan feel confident two policy purchased meet need
AARDY,"Agent was patient and explained things clearly. She answered all our questions. Shawna was very pleasant, easy to work with and had a good sense of humor.",5.0,agent patient explained thing clearly answered question shawna pleasant easy work good sense humor
AARDY,"Amanda was super kind and very knowledgeable, a pleasant person who knows her stuff!",5.0,amanda super kind knowledgeable pleasant person know stuff
AARDY,"Agent Destiny was very curious , knowledgeable and helpful. Seems Aardys offers are respectfable. Hopefully never have to file a claim but if so I will let you know how that goes.",5.0,agent destiny curious knowledgeable helpful seems aardys offer respectfable hopefully never file claim let know go
AARDY,Destiny was wonderful! She answered all my questions and gave me peace of mind that I was selecting the right policy for my needs.,5.0,destiny wonderful answered question gave peace mind selecting right policy need
AARDY,"Andrea was very accomodating, friendly, informed, and helpful.   She helped me throught he process and patiently explained all the elements of Travel insurance with me.",5.0,andrea accomodating friendly informed helpful helped throught process patiently explained element travel insurance
AARDY,Janet was able to explain questions I had regarding “pre existing” conditions.  And outline a plan specific to our needs,5.0,janet able explain question regarding pre existing condition outline plan specific need
AARDY,Agents very responsive and even though it was a very small policy they took plenty of time and care with me.  I am a repeat customer because I have always gotten good service from them.,5.0,agent responsive even though small policy took plenty time care repeat customer always gotten good service
AARDY,Destiny . Her voice and the way she talks is very sweet Helped me understand and walked me through.Excellent  rep.,5.0,destiny voice way talk sweet helped understand walked throughexcellent rep
AARDY,Amanda was very helpful in finding us a travel insurance policy that provides the features we were looking for. I really liked that there were a number of options for us and that Amanda was concerned in our satisfaction with the purchase.,5.0,amanda helpful finding u travel insurance policy provides feature looking really liked number option u amanda concerned satisfaction purchase
AARDY,AARDY laid out suggested insurance policies in a way that made it easy for comparison and making a choice about which policy to buy.,5.0,aardy laid suggested insurance policy way made easy comparison making choice policy buy
AARDY,"Amanda, was very helpful with explaining the policies. We where able to discuss all of the options.  I was able to decide on one that fit my concerns.",5.0,amanda helpful explaining policy able discus option able decide one fit concern
AARDY,"The two agents, Christiana and Nicole, that I chatted or spoke with were both helpful and knowledgeable.  They were able to answer all my questions and provide useful information.",5.0,two agent christiana nicole chatted spoke helpful knowledgeable able answer question provide useful information
AARDY,"Very knowledgeable and polite, Nicole helped finalize the 2 policies that I started with Miranda. Thanks to you both",5.0,knowledgeable polite nicole helped finalize policy started miranda thanks
AARDY,Knowledgeable and nice agent answered all my questions with patience.,5.0,knowledgeable nice agent answered question patience
AARDY,George was great.  He helped me walk through the process and gave all the information to make a decision.,5.0,george great helped walk process gave information make decision
AARDY,"Amanda responded immediately to my call, addressed all my questions and even had observations about my trip coverage that I would not have thought about on my own.  In the end I feel I have appropriate coverage for less money than I anticipated!",5.0,amanda responded immediately call addressed question even observation trip coverage would thought end feel appropriate coverage le money anticipated
AARDY,Stacy and Sylvia were great in patiently and politely explaining everything to me about coverage and how to print out documents.,5.0,stacy sylvia great patiently politely explaining everything coverage print document
AARDY,Shows policy options effectively.  Agent was very helpful choosing the right plan.,5.0,show policy option effectively agent helpful choosing right plan
AARDY,"Melanie was very professional , knowledgeable and friendly. I was leaning not to buy, but after talking to her, I was convince I was ready to purchase the policy. Thank you,      JC",5.0,melanie professional knowledgeable friendly leaning buy talking convince ready purchase policy thank jc
AARDY,great working here and had lots of fun and experience gained.,5.0,great working lot fun experience gained
AARDY,My experience with AArdy was a good experience all of my questions answered and with no one saying oh let me look that up.  Ever question answered and to the point.,5.0,experience aardy good experience question answered one saying oh let look ever question answered point
AARDY,"Destiny was very professional and kind, able to answer questions quickly, giving me reassurance my purchase was going to be handled well.",5.0,destiny professional kind able answer question quickly giving reassurance purchase going handled well
AARDY,Yes well I do agree with the guidelines and service provider because personal experience comes with trying the things rather not following what other say so keep a glance on the company and just get what you need here with worth,5.0,yes well agree guideline service provider personal experience come trying thing rather following say keep glance company get need worth
AARDY,Destiny was very friendly and informative. Answered all my questions. It made my decision to buy insurance so much easier,5.0,destiny friendly informative answered question made decision buy insurance much easier
AARDY,Very easy to research and compare various policy options in one place.  Pricing was reasonable.,5.0,easy research compare various policy option one place pricing reasonable
AARDY,"Janet was easy to understand, patient, and helpful.  She put me at ease and gave clear information.I didn't have to wait on hold to speak to someone, and I have purchased the policy.",5.0,janet easy understand patient helpful put ease gave clear informationi didnt wait hold speak someone purchased policy
AARDY,Christianna was friendly and patient. She helped me find the best options for an upcoming trip.,5.0,christianna friendly patient helped find best option upcoming trip
AARDY,Website has most complete travel insurance info anywhere and the cost for a policy could not be beat anywhere.,5.0,website complete travel insurance info anywhere cost policy could beat anywhere
AARDY,It was very easy to buy travel insurance online. Your website was user friendly. Thank you.,5.0,easy buy travel insurance online website user friendly thank
AARDY,"The lady that I spoke to was very pleasant, helpful and well informed.",5.0,lady spoke pleasant helpful well informed
AARDY,The person I spoke with was very knowledgeable and super nice!,5.0,person spoke knowledgeable super nice
AARDY,Miranda was very helpful.  She guided us through the policies that we were looking at and helped us make an informed decision.,5.0,miranda helpful guided u policy looking helped u make informed decision
AARDY,I spoke with Janet and Miranda of AARDY.  They were both knowledgeable and helpful.  It is truly nice to have someone who is on your side in matters of insurance.,5.0,spoke janet miranda aardy knowledgeable helpful truly nice someone side matter insurance
AARDY,Well there seem to be a IT problem when I paid for my policy but the team over Aardy was more than helpful and we finally got the issue fixed. I spoke with 4 different people over there. And they were all very pleasant and helpful.,4.0,well seem problem paid policy team aardy helpful finally got issue fixed spoke different people pleasant helpful
AARDY,"ardy stands out as a reliable travel insurance provider, offering a range of coverage options at competitive prices. While there are areas for improvement, such as expanding add-on choices and streamlining claims processing, my overall experience has been positive. Aardy is a solid choice for travelers seeking comprehensive protection on their journeys.",5.0,ardy stand reliable travel insurance provider offering range coverage option competitive price area improvement expanding addon choice streamlining claim processing overall experience positive aardy solid choice traveler seeking comprehensive protection journey
AARDY,Spoke with Nicole. She was so kind and answered all of my questions. She is an asset to your company.,5.0,spoke nicole kind answered question asset company
AARDY,Sylvia was extremely helpful in helping us decide.  Very patient and knowledgeable.,5.0,sylvia extremely helpful helping u decide patient knowledgeable
AARDY,Denise was very helpful and courteous. She should get the 5 stars. I will use your company for future travel plans.,5.0,denise helpful courteous get star use company future travel plan
AARDY,"Always an easy process, quick and great coverage which provides peace of mind.",5.0,always easy process quick great coverage provides peace mind
AARDY,Clear explanations. Options of what fit our travel scenario best and differences between them.,5.0,clear explanation option fit travel scenario best difference
AARDY,I love that I had options to choose from and that it even suggested which plan was best for my travels.,5.0,love option choose even suggested plan best travel
AARDY,"Amanda, the broker I spoke to, was knowledgeable, to the point, quick, and kind. We got it all done promptly and with forethought about the future.",5.0,amanda broker spoke knowledgeable point quick kind got done promptly forethought future
AARDY,Easy to sign up and comparison products were included on the page making it easy to compare,5.0,easy sign comparison product included page making easy compare
AARDY,STACEY WAS A PLEASURE TO WORK WITH.  SHE HAD GREAT PATINCE AND COMPLETE KNOWLEDGE OF EVERYTHING WE NEEDED.,5.0,stacey pleasure work great patince complete knowledge everything needed
AARDY,Very helpful with selecting the insurance we needed for the best price and reliability,5.0,helpful selecting insurance needed best price reliability
AARDY,"Options clearly explained, easy process. Agent was very helpful and knowledgeable.",5.0,option clearly explained easy process agent helpful knowledgeable
AARDY,"Customer service rep (Denise) was very informative and professional, we had the policy done with-in minutes. Thank You",5.0,customer service rep denise informative professional policy done within minute thank
AARDY,"Ease of use and policy options, and reasonable prices.",5.0,ease use policy option reasonable price
AARDY,She was efficient and professional and got us the best deal,5.0,efficient professional got u best deal
AARDY,Website easy to use.  Ability to compare policies to select most appropriate for my situation.,5.0,website easy use ability compare policy select appropriate situation
AARDY,Denise was very helpful in reviewing several travel insurance options and answering all of our questions.,5.0,denise helpful reviewing several travel insurance option answering question
AARDY,Amanda was very professional and knowledgeable. Explains the coverage in understanding format. Very cordeus and takes time for you to understand completely.,5.0,amanda professional knowledgeable explains coverage understanding format cordeus take time understand completely
AARDY,"Quick, easy, great pricing, and the person on the phone was very helpful and pleasant.",5.0,quick easy great pricing person phone helpful pleasant
AARDY,"Kind, helpful agent. Pleasant voice.",5.0,kind helpful agent pleasant voice
AARDY,The agent was exceptional.  I think her name was Amanda.,5.0,agent exceptional think name amanda
AARDY,Denise was terrific.  Explained everything.  I was  very satisfied.  Thank you,5.0,denise terrific explained everything satisfied thank
AARDY,Worked with Terry and she was awesome!Helped us through some of our questions and we secured a policy that fit our needs!,5.0,worked terry awesomehelped u question secured policy fit need
AARDY,Everything was straight forward and Felicia was very helpful answering my questions on the phone.,5.0,everything straight forward felicia helpful answering question phone
AARDY,Miranda was very helpful and called us back in a timely manner.,5.0,miranda helpful called u back timely manner
AARDY,"Great service and explanations of policy from George at AARDY. Very personable, concise and understanding.",5.0,great service explanation policy george aardy personable concise understanding
AARDY,"The names on the policy were wrong.  They put my name twice - which gave me two coverages for my self.  I entered the correct names and whether it was Aardy or Trawick, I don't know; but it's taking work to get it fixed.",2.0,name policy wrong put name twice gave two coverage self entered correct name whether aardy trawick dont know taking work get fixed
AARDY,Very helpful in comparisons and backup info,5.0,helpful comparison backup info
AARDY,No review text found,5.0,review text found
AARDY,Very friendly service and was able to explain the difference in the policies.,5.0,friendly service able explain difference policy
AARDY,Easy booking experience.  Well designed site. Good prices.,5.0,easy booking experience well designed site good price
AARDY,"Good service, good product, overall experience is nice",5.0,good service good product overall experience nice
AARDY,Great customer service and ease of use  of your web site,5.0,great customer service ease use web site
AARDY,"Very good website for comparing travel insurance, loved it!!",5.0,good website comparing travel insurance loved
AARDY,"Denise was very helpful, friendly and answered all my questions.",5.0,denise helpful friendly answered question
AARDY,Agent George was very helpful in all aspects of purchase.,5.0,agent george helpful aspect purchase
AARDY,"Christianna was very knowledgeable, directed us to an appropriate insurance coverage.  Very clear in her explanations.",5.0,christianna knowledgeable directed u appropriate insurance coverage clear explanation
AARDY,No review text found,5.0,review text found
AARDY,The agent was extremely helpful and listened to our needs.,5.0,agent extremely helpful listened need
AARDY,So far so good. The agent I spoke to was helpful in helping me decide on a policy.,5.0,far good agent spoke helpful helping decide policy
AARDY,"Amanda helped me and answered all of my questions, which was great.",5.0,amanda helped answered question great
AARDY,No review text found,5.0,review text found
AARDY,No review text found,5.0,review text found
AARDY,"Fabulous,bst... overall fine",5.0,fabulousbst overall fine
AARDY,Excellent advice and great customer service.  Thank you,5.0,excellent advice great customer service thank
AARDY,"The service was very good , agent help us with all the queries",5.0,service good agent help u query
AARDY,Everything was good pricing and the fast approval,5.0,everything good pricing fast approval
AARDY,No review text found,5.0,review text found
AARDY,Numerous policies to compare and great layout.,5.0,numerous policy compare great layout
AARDY,No review text found,5.0,review text found
AARDY,"Agent was knowledgable, thorough and courteous.",5.0,agent knowledgable thorough courteous
AARDY,No review text found,5.0,review text found
AARDY,No review text found,5.0,review text found
AARDY,No review text found,5.0,review text found
AARDY,No review text found,5.0,review text found
AARDY,Easy and fast!!  Denise was courteous and informative!!,5.0,easy fast denise courteous informative
AARDY,Perfect service. Quick & effective. All question answered.,5.0,perfect service quick effective question answered
AARDY,No review text found,5.0,review text found
AARDY,Company is doing well...good service employees have good communication skills,5.0,company wellgood service employee good communication skill
AARDY,No review text found,5.0,review text found
AARDY,Denise was very helpful and knowledgeable and professional in helping me arrange insurance coverage for my future trip.,5.0,denise helpful knowledgeable professional helping arrange insurance coverage future trip
AARDY,No review text found,5.0,review text found
AARDY,No review text found,5.0,review text found
AARDY,No review text found,5.0,review text found
AARDY,It was so simple and easy to get quotes and compare,5.0,simple easy get quote compare
AARDY,The agent was very helpful.  Excellent. Customer service.,5.0,agent helpful excellent customer service
AARDY,No review text found,5.0,review text found
AARDY,No review text found,5.0,review text found
AARDY,No review text found,5.0,review text found
AARDY,No review text found,5.0,review text found
AARDY,No review text found,5.0,review text found
AARDY,No review text found,5.0,review text found
AARDY,No review text found,5.0,review text found
AARDY,No review text found,5.0,review text found
AARDY,No review text found,5.0,review text found
AARDY,No review text found,5.0,review text found
AARDY,No review text found,5.0,review text found
AARDY,Janet helped me sort out my options,5.0,janet helped sort option
AARDY,No review text found,5.0,review text found
AARDY,Good clear description of coverage and competitive rates!,5.0,good clear description coverage competitive rate
AARDY,No review text found,5.0,review text found
AARDY,No review text found,5.0,review text found
AARDY,Nice and helpful. Very good,5.0,nice helpful good
AARDY,Haqiqatan ajoyib platforma menga juda yoqdi,4.0,haqiqatan ajoyib platforma menga juda yoqdi
AARDY,No review text found,5.0,review text found
AARDY,No review text found,5.0,review text found
AARDY,No review text found,5.0,review text found
AARDY,"Helpful, kind, patient and knowledgeable",5.0,helpful kind patient knowledgeable
AARDY,Ward was great! Answered all my questions.,5.0,ward great answered question
AARDY,Good n excellent,5.0,good n excellent
AARDY,GreatDoing well,5.0,greatdoing well
AARDY,Good communication and willingness to answer questions.,5.0,good communication willingness answer question
AARDY,No review text found,5.0,review text found
AARDY,No review text found,5.0,review text found
AARDY,No review text found,5.0,review text found
AARDY,"Fast, efficient and good information...",5.0,fast efficient good information
AARDY,"Sylvia was knowledgeable, helpful, patient",5.0,sylvia knowledgeable helpful patient
AARDY,Amazing experience with the support team always recommended,5.0,amazing experience support team always recommended
AARDY,No review text found,5.0,review text found
AARDY,very grateful for all the help,5.0,grateful help
AARDY,Awesome and great experience 👌,5.0,awesome great experience
AARDY,No review text found,5.0,review text found
AARDY,Great ServicesI love it,5.0,great servicesi love
AARDY,No review text found,5.0,review text found
AARDY,No review text found,5.0,review text found
AARDY,Awesome experience purchasing travel protection !,5.0,awesome experience purchasing travel protection
AARDY,Very nice policy,5.0,nice policy
AARDY,No review text found,5.0,review text found
AARDY,No review text found,5.0,review text found
AARDY,Wow. Good work,5.0,wow good work
AARDY,No review text found,5.0,review text found
AARDY,No review text found,5.0,review text found
AARDY,Very Excellent,5.0,excellent
AARDY,No review text found,5.0,review text found
AARDY,No review text found,5.0,review text found
AARDY,No review text found,5.0,review text found
AARDY,No review text found,5.0,review text found
AARDY,No review text found,5.0,review text found
AARDY,No review text found,5.0,review text found
AARDY,No review text found,5.0,review text found
AARDY,No review text found,5.0,review text found
AARDY,No review text found,5.0,review text found
AARDY,No review text found,5.0,review text found
AARDY,No review text found,5.0,review text found
AARDY,No review text found,5.0,review text found
AARDY,No review text found,5.0,review text found
AARDY,No review text found,4.0,review text found
AARDY,No review text found,5.0,review text found
AARDY,Good one ... nice,5.0,good one nice
AARDY,No review text found,5.0,review text found
AARDY,No review text found,5.0,review text found
AARDY,No review text found,5.0,review text found
AARDY,No review text found,4.0,review text found
AARDY,No review text found,5.0,review text found
AARDY,No review text found,5.0,review text found
AARDY,No review text found,5.0,review text found
AARDY,No review text found,5.0,review text found
AARDY,No review text found,5.0,review text found
AARDY,No review text found,5.0,review text found
AARDY,No review text found,5.0,review text found
AARDY,No review text found,5.0,review text found
AARDY,"The agents helping us were knowledgeable, kind, and patient. They provided us with information and guidance in choosing a travel policy.",5.0,agent helping u knowledgeable kind patient provided u information guidance choosing travel policy
AARDY,very responsiveanswered all questions,5.0,responsiveanswered question
AARDY,No review text found,5.0,review text found
AARDY,Denise was knowledgeable and helpful. I am pretty new to this type of purchase but she gave me confidence that I was purchasing the best item.,5.0,denise knowledgeable helpful pretty new type purchase gave confidence purchasing best item
AARDY,Very professional,5.0,professional
AARDY,Denise was very informative of the plan I was looking at,5.0,denise informative plan looking
AARDY,It was very easy to get my insurance for are trip,4.0,easy get insurance trip
AARDY,Vary good hotel here I stayed for 2 days 1 night. They give best service and food. I recommend this hotel to everyone.,5.0,vary good hotel stayed day night give best service food recommend hotel everyone
AARDY,I had just entered my trip details and was looking at the different policies and received a phone call from an aardy agent! Almost like magic,5.0,entered trip detail looking different policy received phone call aardy agent almost like magic
AARDY,No review text found,5.0,review text found
AARDY,No review text found,5.0,review text found
AARDY,No review text found,5.0,review text found
AARDY,No review text found,5.0,review text found
AARDY,"I had just entered my trip details and was looking at the different policies and received a phone call from an aardy agent! Almost like magic. She offered to answer any questions, provided some information and sent my quote to my email as I explained that I needed to digest the information and was not going to be purchasing while on the phone. After some time, I did purchase our policies.Date of experience: January 06, 2024",5.0,entered trip detail looking different policy received phone call aardy agent almost like magic offered answer question provided information sent quote email explained needed digest information going purchasing phone time purchase policiesdate experience january
AARDY,It was easy to use.,5.0,easy use
AARDY,No review text found,5.0,review text found
AARDY,Melanie was very helpful with all my questions. I believe I got a good policy to cover my needs.,5.0,melanie helpful question believe got good policy cover need
AARDY,The representative did a great job! Very patient and kind!,5.0,representative great job patient kind
AARDY,What luck getting Sylvia as my AARDY Agent. She is a wealth of knowledge and very professional. I can't wait to book my next trip and have Sylvia as my trip insurance agent.,5.0,luck getting sylvia aardy agent wealth knowledge professional cant wait book next trip sylvia trip insurance agent
AARDY,Quickly answered phone. Melanie and George were so helpful and friendly. They gave me all the information I needed and made sure I filled out my forms correctly.,5.0,quickly answered phone melanie george helpful friendly gave information needed made sure filled form correctly
AARDY,Quickly answered phone. Melanie and George were so helpful and friendly. They gave me all the information I needed and made sure I filled out my forms correctly.,5.0,quickly answered phone melanie george helpful friendly gave information needed made sure filled form correctly
AARDY,Felecia was lovely and very helpful in answering my questions and signing me up for a policy.,5.0,felecia lovely helpful answering question signing policy
AARDY,Answered questions effectively,5.0,answered question effectively
AARDY,So helpful in deciding which company to go with - answered all my questions and even helped weigh out options that were important to me between several of the companies.,5.0,helpful deciding company go answered question even helped weigh option important several company
AARDY,"The representatives, Kiwi and Destiny were knowledgeable, courteous, and informative. They were able to give insight and clarity to questions that I had.",4.0,representative kiwi destiny knowledgeable courteous informative able give insight clarity question
AARDY,"Professional, great prompt response and knowledge of the different products.",5.0,professional great prompt response knowledge different product
AARDY,Melanie answered all of my questions and made excellent recommendations to tailor the policy to our specific needs.,5.0,melanie answered question made excellent recommendation tailor policy specific need
AARDY,my agent was very nice to speak to and informative,5.0,agent nice speak informative
AARDY,"We did not need complete coverage on our travel, only medical and repatriation.  The agent gave me good advice as to how to acquire this coverage for the least cost.",5.0,need complete coverage travel medical repatriation agent gave good advice acquire coverage least cost
AARDY,"I was unsure what plan was needed for my trip.I spoke with Nicole and then Amanda.  They were knowledgeable, patient and very helpful explaining plans for my trip to Italy.  I am glad I chose AARDY for my trip insurance.",5.0,unsure plan needed tripi spoke nicole amanda knowledgeable patient helpful explaining plan trip italy glad chose aardy trip insurance
AARDY,No review text found,5.0,review text found
AARDY,No review text found,5.0,review text found
AARDY,No review text found,5.0,review text found
AARDY,It's type of public response according to demand of the trend and the review of the most used people about their experiences and selecting the products and bringing to the light of the notice about such products so it will me immediately noticed and company can array such things predominantly.,5.0,type public response according demand trend review used people experience selecting product bringing light notice product immediately noticed company array thing predominantly
AARDY,No review text found,5.0,review text found
AARDY,No review text found,5.0,review text found
AARDY,"Maranda M. was fantastic.  She guided me through the various policies and helped answer all of my questions.  Thank you, and I will definitely use AARDY for my next travel insurance purpose.",5.0,maranda fantastic guided various policy helped answer question thank definitely use aardy next travel insurance purpose
AARDY,She was very professional and knowledgeable about the products that would fit our needs. It was a pleasure speaking to her and very satisfied .,5.0,professional knowledgeable product would fit need pleasure speaking satisfied
AARDY,With one call I was able to find the coverage for travel I wanted.,5.0,one call able find coverage travel wanted
AARDY,"friendly and helpful, knowledgeable",5.0,friendly helpful knowledgeable
AARDY,No review text found,4.0,review text found
AARDY,Very helpful.  Answered all questions.,5.0,helpful answered question
AARDY,"The agent was very helpful, pleasant and informative. She made the process easy to understand and answered all of my questions.",5.0,agent helpful pleasant informative made process easy understand answered question
AARDY,"Miranda was very professional with assisting me with this insurance policy, she provided great customer relations and showed the upmost concerns for getting us a great policy for our needs. She is a great asset to you company. It was a pleasure working with Miranda.",5.0,miranda professional assisting insurance policy provided great customer relation showed upmost concern getting u great policy need great asset company pleasure working miranda
AARDY,No review text found,5.0,review text found
AARDY,No review text found,5.0,review text found
AARDY,Good with it,5.0,good
AARDY,No review text found,5.0,review text found
AARDY,No review text found,5.0,review text found
AARDY,No review text found,5.0,review text found
AARDY,This is a wonderful app. Good work by the team.,5.0,wonderful app good work team
AARDY,No review text found,5.0,review text found
AARDY,No review text found,5.0,review text found
AARDY,Great customer services. Any questions I asked information was given in to details.,5.0,great customer service question asked information given detail
AARDY,No review text found,5.0,review text found
