Name,Review,Number of Stars,Cleaned_Review,Corrected_Review,Generated_Text,Summary
AARDY,"I had just entered my trip details and was looking at the different policies and received a phone call from an aardy agent! Almost like magic. She offered to answer any questions, provided some information and sent my quote to my email as I explained that I needed to digest the information and was not going to be purchasing while on the phone. After some time, I did purchase our policies.Date of experience: January 06, 2024",5,entered trip detail looking different policy received phone call aardy agent almost like magic offered answer question provided information sent quote email explained needed digest information going purchasing phone time purchase policiesdate experience january,entered trip detail looking different policy received phone call hardy agent almost like magic offered answer question provided information sent quote email explained needed digest information going purchasing phone time purchase policiesdate experience january,helpful ive used aardy last year impressed service needed insurance another upcoming trip mexico,entered trip detail looking different policy received phone call aardy agent almost like magic offered answer question provided information sent quote email explained needed digest information going purchasing phone time purchase policiesdate experience january
AARDY,Agents very responsive and even though it was a very small policy they took plenty of time and care with me.  I am a repeat customer because I have always gotten good service from them.,5,agent responsive even though small policy took plenty time care repeat customer always gotten good service,agent responsive even though small policy took plenty time care repeat customer always gotten good service,agent knowledgeable helpful pleasure speak third time used aardy last vacation happy option,agent responsive even though small policy took plenty time care repeat customer always gotten good service
AARDY,Amanda was very helpful in finding us a travel insurance policy that provides the features we were looking for. I really liked that there were a number of options for us and that Amanda was concerned in our satisfaction with the purchase.,5,amanda helpful finding u travel insurance policy provides feature looking really liked number option u amanda concerned satisfaction purchase,mania helpful finding u travel insurance policy provides feature looking really liked number option u mania concerned satisfaction purchase,sylvia agent helpful good choice,amanda helpful finding u travel insurance policy provides feature looking really liked number option u amanda concerned satisfaction purchase
AARDY,AARDY laid out suggested insurance policies in a way that made it easy for comparison and making a choice about which policy to buy.,5,aardy laid suggested insurance policy way made easy comparison making choice policy buy,hardy laid suggested insurance policy way made easy comparison making choice policy buy,felicia timely helpful question phone,aardy laid suggested insurance policy way made easy comparison making choice policy buy
AARDY,"I had just entered my trip details and was looking at the different policies and received a phone call from an aardy agent!  Almost like magic.  She offered to answer any questions, provided some information and sent my quote to my email as I explained that I needed to digest the information and was not going to be purchasing while on the phone.  After some time, I did purchase our policies.",5,entered trip detail looking different policy received phone call aardy agent almost like magic offered answer question provided information sent quote email explained needed digest information going purchasing phone time purchase policy,entered trip detail looking different policy received phone call hardy agent almost like magic offered answer question provided information sent quote email explained needed digest information going purchasing phone time purchase policy,used last trip easy navigate site good price amanda awesome helpful,entered trip detail looking different policy received phone call aardy agent almost like magic offered answer question provided information sent quote email explained needed digest information going purchasing phone time purchase policy
AARDY,"The two agents, Christiana and Nicole, that I chatted or spoke with were both helpful and knowledgeable.  They were able to answer all my questions and provide useful information.",5,two agent christiana nicole chatted spoke helpful knowledgeable able answer question provide useful information,two agent christian nice chatted spoke helpful knowledgeable able answer question provide useful information,miranda helpful knowledgeable response sylvia melanie hope use travel insurance company recommendation,two agent christiana nicole chatted spoke helpful knowledgeable able answer question provide useful information
AARDY,"Amanda responded immediately to my call, addressed all my questions and even had observations about my trip coverage that I would not have thought about on my own.  In the end I feel I have appropriate coverage for less money than I anticipated!",5,amanda responded immediately call addressed question even observation trip coverage would thought end feel appropriate coverage le money anticipated,mania responded immediately call addressed question even observation trip coverage would thought end feel appropriate coverage le money anticipated,sylvia pleasant kind clear concise asked question important u based recommended perfect plan excellent service thanks best work,amanda responded immediately call addressed question even observation trip coverage would thought end feel appropriate coverage le money anticipated
AARDY,"The names on the policy were wrong.  They put my name twice - which gave me two coverages for my self.  I entered the correct names and whether it was Aardy or Trawick, I don't know; but it's taking work to get it fixed.",2,name policy wrong put name twice gave two coverage self entered correct name whether aardy trawick dont know taking work get fixed,name policy wrong put name twice gave two coverage self entered correct name whether hardy track dont know taking work get fixed,agent helpful worked w shanna amanda silvia answered question huge help assisting u purchase,name policy wrong put name twice gave two coverage self entered correct name whether aardy trawick dont know taking work get fixed
AARDY,Destiny was very friendly and informative. Answered all my questions. It made my decision to buy insurance so much easier,5,destiny friendly informative answered question made decision buy insurance much easier,destiny friendly information answered question made decision buy insurance much easier,shanna chat available almost immediately helpful spoke nicole patiently answered question clearly,destiny friendly informative answered question made decision buy insurance much easier
AARDY,"Melanie was very professional , knowledgeable and friendly. I was leaning not to buy, but after talking to her, I was convince I was ready to purchase the policy. Thank you,      JC",5,melanie professional knowledgeable friendly leaning buy talking convince ready purchase policy thank jc,melanin professional knowledgeable friendly leaning buy talking convince ready purchase policy thank c,shopping insurance cruise accessed website process quick easy use insurance coverage future trip,melanie professional knowledgeable friendly leaning buy talking convince ready purchase policy thank jc
AARDY,My experience with AArdy was a good experience all of my questions answered and with no one saying oh let me look that up.  Ever question answered and to the point.,5,experience aardy good experience question answered one saying oh let look ever question answered point,experience hardy good experience question answered one saying oh let look ever question answered point,great website custom fit policy need agent helpful pleasant informative made process good experience,experience aardy good experience question answered one saying oh let look ever question answered point
AARDY,Yes well I do agree with the guidelines and service provider because personal experience comes with trying the things rather not following what other say so keep a glance on the company and just get what you need here with worth,5,yes well agree guideline service provider personal experience come trying thing rather following say keep glance company get need worth,yes well agree guideline service provider personal experience come trying thing rather following say keep glance company get need worth,super easy decide recommendation travel need came reasonable recommendation took care details,yes well agree guideline service provider personal experience come trying thing rather following say keep glance company get need worth
AARDY,"Janet was easy to understand, patient, and helpful.  She put me at ease and gave clear information.I didn't have to wait on hold to speak to someone, and I have purchased the policy.",5,janet easy understand patient helpful put ease gave clear informationi didnt wait hold speak someone purchased policy,janet easy understand patient helpful put ease gave clear information didn wait hold speak someone purchased policy,fast easy enrollment company policy great compare pricing checkout easy,janet easy understand patient helpful put ease gave clear informationi didnt wait hold speak someone purchased policy
AARDY,Website has most complete travel insurance info anywhere and the cost for a policy could not be beat anywhere.,5,website complete travel insurance info anywhere cost policy could beat anywhere,webster complete travel insurance into anywhere cost policy could beat anywhere,agent andrea extremely helpful found policy meet requirement,website complete travel insurance info anywhere cost policy could beat anywhere
AARDY,Very easy to research and compare various policy options in one place.  Pricing was reasonable.,5,easy research compare various policy option one place pricing reasonable,easy research compare various policy option one place pricking reasonable,miranda professional assisting insurance policy need efficient appreciative help,easy research compare various policy option one place pricing reasonable
AARDY,"We did not need complete coverage on our travel, only medical and repatriation.  The agent gave me good advice as to how to acquire this coverage for the least cost.",5,need complete coverage travel medical repatriation agent gave good advice acquire coverage least cost,need complete coverage travel medical reparation agent gave good advice acquire coverage least cost,denise helpful friendly clear,need complete coverage travel medical repatriation agent gave good advice acquire coverage least cost
AARDY,"Took just seconds to select a plan.  Very easy process and feel confident I got the best travel insurance with the best rate.  The cruise line offered insurance but at twice the price!  Also, when trying to make up my mind, spoke with a very pleasant Client Manager at AARDY.  This decision was not difficult.",5,took second select plan easy process feel confident got best travel insurance best rate cruise line offered insurance twice price also trying make mind spoke pleasant client manager aardy decision difficult,took second select plan easy process feel confident got best travel insurance best rate cruise line offered insurance twice price also trying make mind spoke pleasant client manager hardy decision difficult,hi aardy service excelent happy thanks aardy offering peace mind,took second select plan easy process feel confident got best travel insurance best rate cruise line offered insurance twice price also trying make mind spoke pleasant client manager aardy decision difficult
AARDY,"Maranda M. was fantastic.  She guided me through the various policies and helped answer all of my questions.  Thank you, and I will definitely use AARDY for my next travel insurance purpose.",5,maranda fantastic guided various policy helped answer question thank definitely use aardy next travel insurance purpose,veranda fantastic guided various policy helped answer question thank definitely use hardy next travel insurance purpose,easy use gave many option choose description clear website user friendly nice talk,maranda fantastic guided various policy helped answer question thank definitely use aardy next travel insurance purpose
AARDY,"Miranda was very professional with assisting me with this insurance policy, she provided great customer relations and showed the upmost concerns for getting us a great policy for our needs. She is a great asset to you company. It was a pleasure working with Miranda.",5,miranda professional assisting insurance policy provided great customer relation showed upmost concern getting u great policy need great asset company pleasure working miranda,veranda professional assisting insurance policy provided great customer relation showed utmost concern getting u great policy need great asset company pleasure working veranda,felecia lovely helpful answering question miranda polite professional,miranda professional assisting insurance policy provided great customer relation showed upmost concern getting u great policy need great asset company pleasure working miranda
AARDY,Denise was knowledgeable and helpful. I am pretty new to this type of purchase but she gave me confidence that I was purchasing the best item.,5,denise knowledgeable helpful pretty new type purchase gave confidence purchasing best item,dense knowledgeable helpful pretty new type purchase gave confidence purchasing best item,denise helpful giving insight various insurance option extremely helpful kind knew job well,denise knowledgeable helpful pretty new type purchase gave confidence purchasing best item
AARDY,Miranda made this a good experience.  She carefully listened to my situation and then picked the one policy that met my needs.  I was exhausted from reading through the lengthy fine print of multiple insurance policies that didn't work for me.  She was able to cut through the multiple policies to find the right one for me.,5,miranda made good experience carefully listened situation picked one policy met need exhausted reading lengthy fine print multiple insurance policy didnt work able cut multiple policy find right one,veranda made good experience carefully listened situation picked one policy met need exhausted reading lengthy fine print multiple insurance policy didn work able cut multiple policy find right one,worked amanda helpful informative situation took incredible amount time covering detail,miranda made good experience carefully listened situation picked one policy met need exhausted reading lengthy fine print multiple insurance policy didnt work able cut multiple policy find right one
AARDY,"The agents helping us were knowledgeable, kind, and patient. They provided us with information and guidance in choosing a travel policy.",5,agent helping u knowledgeable kind patient provided u information guidance choosing travel policy,agent helping u knowledgeable kind patient provided u information guidance choosing travel policy,agent helpful good choice thank,agent helping u knowledgeable kind patient provided u information guidance choosing travel policy
AARDY,I had just entered my trip details and was looking at the different policies and received a phone call from an aardy agent! Almost like magic,5,entered trip detail looking different policy received phone call aardy agent almost like magic,entered trip detail looking different policy received phone call hardy agent almost like magic,worked destiny professional pleasant explained everything throughly,entered trip detail looking different policy received phone call aardy agent almost like magic
AARDY,"ardy stands out as a reliable travel insurance provider, offering a range of coverage options at competitive prices. While there are areas for improvement, such as expanding add-on choices and streamlining claims processing, my overall experience has been positive. Aardy is a solid choice for travelers seeking comprehensive protection on their journeys.",5,ardy stand reliable travel insurance provider offering range coverage option competitive price area improvement expanding addon choice streamlining claim processing overall experience positive aardy solid choice traveler seeking comprehensive protection journey,army stand reliable travel insurance provider offering range coverage option competitive price area improvement expanding don choice streamlining claim processing overall experience positive hardy solid choice traveler seeking comprehensive protection journey,nichole great work explained policy term,ardy stand reliable travel insurance provider offering range coverage option competitive price area improvement expanding addon choice streamlining claim processing overall experience positive aardy solid choice traveler seeking comprehensive protection journey
AARDY,"I was unsure what plan was needed for my trip.I spoke with Nicole and then Amanda.  They were knowledgeable, patient and very helpful explaining plans for my trip to Italy.  I am glad I chose AARDY for my trip insurance.",5,unsure plan needed tripi spoke nicole amanda knowledgeable patient helpful explaining plan trip italy glad chose aardy trip insurance,ensure plan needed trip spoke nice mania knowledgeable patient helpful explaining plan trip italy glad chose hardy trip insurance,agent amanda knowledgeable able address question asked fast courteous response initial inquirywould recommend aardy,unsure plan needed tripi spoke nicole amanda knowledgeable patient helpful explaining plan trip italy glad chose aardy trip insurance
AARDY,I spoke with Janet and Miranda of AARDY.  They were both knowledgeable and helpful.  It is truly nice to have someone who is on your side in matters of insurance.,5,spoke janet miranda aardy knowledgeable helpful truly nice someone side matter insurance,spoke janet veranda hardy knowledgeable helpful truly nice someone side matter insurance,one call able find coverage searching cruise everything easy explaining term policy pricing actual purchase policy needed,spoke janet miranda aardy knowledgeable helpful truly nice someone side matter insurance
AARDY,Amanda was very helpful explaining everything and answering all my questions.  She explained I could call her anytime if I had any more questions.  I would recommend Amanda to anyone needing travel insurance,5,amanda helpful explaining everything answering question explained could call anytime question would recommend amanda anyone needing travel insurance,mania helpful explaining everything answering question explained could call daytime question would recommend mania anyone needing travel insurance,sarah helpful easy work explained everything would recommend amanda anyone needing travel insurance option extremely helpful,amanda helpful explaining everything answering question explained could call anytime question would recommend amanda anyone needing travel insurance
AARDY,"Amanda, the broker I spoke to, was knowledgeable, to the point, quick, and kind. We got it all done promptly and with forethought about the future.",5,amanda broker spoke knowledgeable point quick kind got done promptly forethought future,mania broker spoke knowledgeable point quick kind got done promptly forethought future,sarah helpful easy understandinformative pressure everything explained question answered denise quite helpful sympathetic responsive,amanda broker spoke knowledgeable point quick kind got done promptly forethought future
AARDY,Denise was very helpful and courteous. She should get the 5 stars. I will use your company for future travel plans.,5,denise helpful courteous get star use company future travel plan,dense helpful courteous get star use company future travel plan,destiny awesome great customer service return future travel need,denise helpful courteous get star use company future travel plan
AARDY,She was very professional and knowledgeable about the products that would fit our needs. It was a pleasure speaking to her and very satisfied .,5,professional knowledgeable product would fit need pleasure speaking satisfied,professional knowledgeable product would fit need pleasure speaking satisfied,shopping insurance cruise accessed website process quick easy helpful process completed minute pleased ease quality service,professional knowledgeable product would fit need pleasure speaking satisfied
AARDY,Miranda was very helpful.  She guided us through the policies that we were looking at and helped us make an informed decision.,5,miranda helpful guided u policy looking helped u make informed decision,veranda helpful guided u policy looking helped u make informed decision,agent efficient gave excellent advice appreciated working look forward trip,miranda helpful guided u policy looking helped u make informed decision
AARDY,"Options clearly explained, easy process. Agent was very helpful and knowledgeable.",5,option clearly explained easy process agent helpful knowledgeable,option clearly explained easy process agent helpful knowledgeable,maranda helpful knowledgeable different policy received phone call question dealt courtesy professionalism question answered point,option clearly explained easy process agent helpful knowledgeable
AARDY,"Started with a chat with Shanna and then spoke by phone with Christiana. Both agents were friendly, patient, and professional.",5,started chat shanna spoke phone christiana agent friendly patient professional,started chat hanna spoke phone christian agent friendly patient professional,always traveler insurance policy ensure question answered,started chat shanna spoke phone christiana agent friendly patient professional
AARDY,Shanna and Miranda were very helpful in selecting the best plan for our upcoming trip. They were pleasant to talk to and answered all of my questions professionally.,5,shanna miranda helpful selecting best plan upcoming trip pleasant talk answered question professionally,hanna veranda helpful selecting best plan coming trip pleasant talk answered question professionally,show plan cost benefit easy understand make decisionsmy agent name dennis great,shanna miranda helpful selecting best plan upcoming trip pleasant talk answered question professionally
AARDY,"Always an easy process, quick and great coverage which provides peace of mind.",5,always easy process quick great coverage provides peace mind,always easy process quick great coverage provides peace mind,kayla explained thing clearly made decision go trip worry thank,always easy process quick great coverage provides peace mind
AARDY,Sylvia did a great job walking us through several options. The quotes were fast and provided sufficient detail to make the buying decision.,5,sylvia great job walking u several option quote fast provided sufficient detail make buying decision,sylvis great job walking u several option quote fast provided sufficient detail make buying decision,spoke cynthia loss great professional able answer question patiently knowledgeably helped decide package proper one thank much,sylvia great job walking u several option quote fast provided sufficient detail make buying decision
AARDY,What luck getting Sylvia as my AARDY Agent. She is a wealth of knowledge and very professional. I can't wait to book my next trip and have Sylvia as my trip insurance agent.,5,luck getting sylvia aardy agent wealth knowledge professional cant wait book next trip sylvia trip insurance agent,luck getting sylvis hardy agent wealth knowledge professional can wait book next trip sylvis trip insurance agent,fantastic knowledgeable patient great deal thank much,luck getting sylvia aardy agent wealth knowledge professional cant wait book next trip sylvia trip insurance agent
AARDY,I love that I had options to choose from and that it even suggested which plan was best for my travels.,5,love option choose even suggested plan best travel,love option choose even suggested plan best travel,maranda helped u figure somewhat complicated travel insurance policy friendly knowledgeable helpful,love option choose even suggested plan best travel
AARDY,Clear explanations. Options of what fit our travel scenario best and differences between them.,5,clear explanation option fit travel scenario best difference,clear explanation option fit travel scenario best difference,amanda best wit end finally called helpful clarified many aspect try sale something fact gave option site,clear explanation option fit travel scenario best difference
AARDY,We have visited this insurance company. Best faculty for customer relations & best in own field. I willrecommend my all friend to visit,5,visited insurance company best faculty customer relation best field willrecommend friend visit,visited insurance company best faculty customer relation best field willrecommend friend visit,every representative spoken helpful taken time explain detail policy expressed concern aardy provides great service,visited insurance company best faculty customer relation best field willrecommend friend visit
AARDY,Easy to sign up and comparison products were included on the page making it easy to compare,5,easy sign comparison product included page making easy compare,easy sign comparison product included page making easy compare,excellent customer servicei also like received excellent assistance,easy sign comparison product included page making easy compare
AARDY,"The representatives, Kiwi and Destiny were knowledgeable, courteous, and informative. They were able to give insight and clarity to questions that I had.",4,representative kiwi destiny knowledgeable courteous informative able give insight clarity question,representative king destiny knowledgeable courteous information able give insight clarity question,person helped patient answered question huge help assisting u purchase really appreciated letting u know expect next needed file claim let know go,representative kiwi destiny knowledgeable courteous informative able give insight clarity question
AARDY,Miranda was very helpful and called us back in a timely manner.,5,miranda helpful called u back timely manner,veranda helpful called u back timely manner,mr melanie outstanding job thank much,miranda helpful called u back timely manner
AARDY,STACEY WAS A PLEASURE TO WORK WITH.  SHE HAD GREAT PATINCE AND COMPLETE KNOWLEDGE OF EVERYTHING WE NEEDED.,5,stacey pleasure work great patince complete knowledge everything needed,states pleasure work great patience complete knowledge everything needed,easy evaluate policy responsive helpful friendly liked much,stacey pleasure work great patince complete knowledge everything needed
AARDY,So helpful in deciding which company to go with - answered all my questions and even helped weigh out options that were important to me between several of the companies.,5,helpful deciding company go answered question even helped weigh option important several company,helpful deciding company go answered question even helped weigh option important several company,honestly knew little travel insurance company shes keeper,helpful deciding company go answered question even helped weigh option important several company
AARDY,Website easy to use.  Ability to compare policies to select most appropriate for my situation.,5,website easy use ability compare policy select appropriate situation,webster easy use ability compare policy select appropriate situation,instant quote response easy understand thank nicole,website easy use ability compare policy select appropriate situation
AARDY,"Quick, easy, great pricing, and the person on the phone was very helpful and pleasant.",5,quick easy great pricing person phone helpful pleasant,quick easy great pricking person phone helpful pleasant,agent personable good job explaining different clause helping buy insurance much easier,quick easy great pricing person phone helpful pleasant
AARDY,Felecia was lovely and very helpful in answering my questions and signing me up for a policy.,5,felecia lovely helpful answering question signing policy,felecia lovely helpful answering question signing policy,online chat felicia chatted phone patient thorough got exact coverage wanted,felecia lovely helpful answering question signing policy
AARDY,"The agent was very helpful, pleasant and informative. She made the process easy to understand and answered all of my questions.",5,agent helpful pleasant informative made process easy understand answered question,agent helpful pleasant information made process easy understand answered question,nicole answered question addressed concern price right feel confident travel policy select appropriate situation,agent helpful pleasant informative made process easy understand answered question
AARDY,"This is the third time I've used AARDY for travel insurance. They make the process easy to sign up. If you don't have any background on coverage, you can chat or call them. I highly recommend AARDY!",5,third time ive used aardy travel insurance make process easy sign dont background coverage chat call highly recommend aardy,third time give used hardy travel insurance make process easy sign dont background coverage chat call highly recommend hardy,melanie patient extremely knowledgeable helpful pretty new type purchase gave instant peace mind knowing im covered day hawaii cruise,third time ive used aardy travel insurance make process easy sign dont background coverage chat call highly recommend aardy
AARDY,"Customer service rep (Denise) was very informative and professional, we had the policy done with-in minutes. Thank You",5,customer service rep denise informative professional policy done within minute thank,customer service rep dense information professional policy done within minute thank,maranda extremely knowledgeable clearly guided making final policy selection felt comfortable talking end call felt made best decision purchase,customer service rep denise informative professional policy done within minute thank
AARDY,Worked with Terry and she was awesome!Helped us through some of our questions and we secured a policy that fit our needs!,5,worked terry awesomehelped u question secured policy fit need,worked merry awesomehelped u question secured policy fit need,site make needed change premium graciously done great service knowledgeable courteous agent,worked terry awesomehelped u question secured policy fit need
AARDY,Quickly answered phone. Melanie and George were so helpful and friendly. They gave me all the information I needed and made sure I filled out my forms correctly.,5,quickly answered phone melanie george helpful friendly gave information needed made sure filled form correctly,quickly answered phone melanin george helpful friendly gave information needed made sure filled form correctly,maranda knowledgeable patient question explained everything satisfied thank,quickly answered phone melanie george helpful friendly gave information needed made sure filled form correctly
AARDY,Amanda was very professional and knowledgeable. Explains the coverage in understanding format. Very cordeus and takes time for you to understand completely.,5,amanda professional knowledgeable explains coverage understanding format cordeus take time understand completely,mania professional knowledgeable explains coverage understanding format orders take time understand completely,maranda helped u find right travel plan,amanda professional knowledgeable explains coverage understanding format cordeus take time understand completely
AARDY,Everything was straight forward and Felicia was very helpful answering my questions on the phone.,5,everything straight forward felicia helpful answering question phone,everything straight forward elicit helpful answering question phone,wait hold sylvia knowledgeable helpful truly nice someone side matter insurance,everything straight forward felicia helpful answering question phone
AARDY,Very friendly service and was able to explain the difference in the policies.,5,friendly service able explain difference policy,friendly service able explain difference policy,agent purchased wrong policy quite helpful efficient,friendly service able explain difference policy
AARDY,Very friendly service and was able to explain the difference in the policies,5,friendly service able explain difference policy,friendly service able explain difference policy,miranda explained thing thoroughly slowly kudos melanie id recommend everyone use againfelicia amanda excellent,friendly service able explain difference policy
AARDY,"Great service and explanations of policy from George at AARDY. Very personable, concise and understanding.",5,great service explanation policy george aardy personable concise understanding,great service explanation policy george hardy personal concise understanding,nicole amazing helpful sweet informative kind thoughtful first time ever gotten trip insurance also,great service explanation policy george aardy personable concise understanding
AARDY,Denise was terrific.  Explained everything.  I was  very satisfied.  Thank you,5,denise terrific explained everything satisfied thank,dense terrific explained everything satisfied thank,rep knowledgeable first question concern handled promptly professionally,denise terrific explained everything satisfied thank
AARDY,"Very good website for comparing travel insurance, loved it!!",5,good website comparing travel insurance loved,good webster comparing travel insurance loved,shopping insurance cruise accessed website process quick easy helpful process completed minute pleased ease quality service,good website comparing travel insurance loved
AARDY,Ananda was great helping us set up our travel insurance.  She tailored a plan just for us and provided the documents me needed quickly.,5,ananda great helping u set travel insurance tailored plan u provided document needed quickly,anna great helping u set travel insurance tailor plan u provided document needed quickly,far good agent spoke phone wonderful,ananda great helping u set travel insurance tailored plan u provided document needed quickly
AARDY,Great customer service and ease of use  of your web site,5,great customer service ease use web site,great customer service ease use web site,representative great job giving detailed information patient question happy answer without issue kind phone decided book policy thru company,
AARDY,"Denise was very helpful, friendly and answered all my questions.",5,denise helpful friendly answered question,dense helpful friendly answered question,easy use website policy provided great customer service provided denise qa provided help provided understand policy helpful friendly clear,denise helpful friendly answered question
